trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
40,0.6563238512035011,-3.8867359102945582,-3.363677405905486,0.08386833125600775,0,0,97,223,108,129,1
37,0.6509555069292489,-2.437464214002536,-3.541916530592701,0.0033491857837846324,2,2,221,38,170,186,1
50,0.6508971553610503,-4.0,-3.7242435516446246,0.15527979656772373,3,2,19,256,100,256,1
42,0.6489715536105033,-3.883672018674908,-1.8989371438604183,0.12964316800621564,1,0,240,256,72,131,1
26,0.6465353756382203,-4.0,-1.0,0.6033778768608492,0,3,168,59,141,131,1
45,0.6442450765864333,-2.6479523488527774,-4.240372190971258,0.12355613509823181,2,1,121,179,48,31,1
29,0.6432822757111597,-0.9027650760561952,-5.0,0.03546376562110831,0,1,63,64,0,137,1
49,0.6408315098468271,-2.1166975099636027,-4.470234112234449,0.0,1,2,28,256,235,3,1
46,0.6401312910284465,-1.0890169037756445,-3.5958555348427055,0.031092235553004402,0,3,156,197,26,122,1
2,0.6370094821298322,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
20,0.6344420131291029,-1.8592692219038534,-4.5071418185121095,0.18443101380097052,1,2,62,28,163,256,1
38,0.6319620714806711,-3.243060411085406,-2.8676847766737987,0.03096139158277177,2,2,249,152,120,45,1
18,0.6285193289569657,-3.6680557668525333,-1.9072681500962916,0.22325885034602239,1,2,205,200,37,0,1
47,0.6242304886943837,-4.0,-5.0,0.11514260979086367,0,1,214,5,0,179,1
23,0.6226258205689278,-4.0,-1.0,0.19055936748391616,0,3,181,173,162,121,1
1,0.6172283005105762,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
10,0.6171553610503282,-0.3,-4.171896876221186,0.18866197255982,0,1,63,137,0,180,1
12,0.6163530269876003,-4.0,-2.8029651199915717,0.7,0,2,49,128,0,48,0
14,0.6151859956236324,-4.0,-2.985994833334184,0.33331950623758866,4,2,159,37,0,35,1
32,0.6145733041575493,-2.6094390541650583,-2.3239845610274292,0.07952754409146691,0,2,8,6,96,226,1
34,0.6142377826404085,-3.9756321546886713,-1.2560250514546465,0.3821221483426943,4,3,242,56,85,125,1
35,0.6137272064186725,-1.246161698792489,-1.8200958496187147,0.25055501756625964,0,1,24,103,17,193,0
11,0.6127060539752006,-2.059128232550214,-2.5815458023660254,0.17134407079199832,0,0,85,39,94,169,0
36,0.6120058351568198,-1.3315286748500204,-5.0,0.17535130318264433,0,1,82,121,38,163,0
7,0.6114223194748358,-2.84649966572968,-1.5100021963256247,0.046298595760731316,2,0,194,7,119,8,0
5,0.6111451495258935,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
44,0.6109846827133479,-1.6846188424995523,-3.978678870321763,0.0,3,2,49,249,256,2,1
43,0.6103428154631656,-1.4808005740732995,-2.522872833549749,0.12282113366433296,0,0,146,91,110,218,1
17,0.6098030634573305,-0.3,-2.8088280398332937,0.6941416814382139,1,1,208,10,180,256,0
9,0.6078336980306345,-4.0,-2.1044701941800033,0.5397004067775512,2,3,188,137,209,2,0
30,0.6025966447848286,-2.2098900630081695,-1.0,0.6882277567491316,1,1,100,104,0,256,1
48,0.6025237053245807,-2.8286625196534505,-1.4542696358757552,0.0,4,2,10,0,97,128,1
41,0.6005689277899343,-3.717000735887921,-3.291313553151225,0.0,0,0,201,163,146,203,1
3,0.6000291757840991,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
4,0.5959591539022611,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
22,0.5926039387308535,-2.107331094367763,-1.9534385202769142,0.2941069331897016,1,3,42,1,155,256,1
25,0.5905616338439096,-3.0153321804541213,-5.0,0.5550664691797005,3,2,74,47,228,34,1
13,0.5903719912472648,-1.0893123498906507,-3.3199438637178527,0.4851018840925415,1,0,108,170,0,92,0
28,0.5887235594456601,-4.0,-4.6984588089485735,0.5502554290494629,0,2,240,76,209,59,1
39,0.586943836615609,-2.5361803476586973,-3.6873296424264974,0.10107876966032976,2,2,253,62,201,228,0
21,0.5825674690007294,-4.0,-2.3779028516748855,0.7,0,1,96,0,122,0,0
24,0.5706053975200582,-1.7304769070332093,-3.533681298852481,0.5251924682927442,2,0,28,0,100,256,0
19,0.5639241429613421,-2.0124754164637757,-1.857162071222041,0.684696782529497,3,2,58,30,93,28,0
33,0.5415609044493072,-0.9523159502169714,-1.0,0.0,3,1,178,5,249,142,1
27,0.5335229759299781,-0.3,-5.0,0.19585492861360304,3,2,11,159,59,55,1
31,0.5019839533187453,-4.0,-5.0,0.42792513723751385,0,1,98,185,0,14,1
6,0.5,-0.6414878484457902,-3.9783279242689407,0.18314342091279553,3,2,52,227,78,216,0
15,0.5,-0.3,-2.8970715149179527,0.3590642840795892,1,2,223,76,0,55,1
8,0.5,-0.3,-2.9513991384342027,0.0,4,0,136,256,256,0,1
16,0.48220277169948944,-3.7885612243228843,-2.8506100653074378,0.27204352575746016,0,1,9,36,141,191,0
